"Address","PostCode","Price","PropertyType"
"10 CASTLEGRANGE PARK, CASTAHEANY, 5","D15",303000,"SecondHand Property"
"100 OAKWOOD GROVE, CLONDALKIN, 2","D22",310000,"SecondHand Property"
"105 CASINO PARK, MARINO, ","D3",147000,"SecondHand Property"
"11 BROOKWOOD HEIGHTS, ARTANE, ","D5",395000,"SecondHand Property"
"110 ADAMSTOWN AVE, ADAMSTOWN LUCAN","CoDublin",240000,"SecondHand Property"
"12 THE POPLARS, MONKSTOWN VALLEY, MONKSTOWN","CoDublin",4e+05,"SecondHand Property"
"133 CHERRY AVE, SWORDS","CoDublin",273000,"SecondHand Property"
"145 THE RECTORY, STEPASIDE, 8","D18",290000,"SecondHand Property"
"15 ENNISKERRY RD, PHIBSBOROUGH, ","D7",530000,"SecondHand Property"
"16 Beresford Crescent, Donabate","CoDublin",378854,"NewProperty"
"16 MILFORD, MALAHIDE","CoDublin",720000,"SecondHand Property"
"18 CARRIGMORE MANOR, CITYWEST","D24",268000,"SecondHand Property"
"19 Castleland Park Close, Balbriggan","CoDublin",255000,"NewProperty"
"19 COOLDRIONA COURT, MAIN ST SWORDS, SWORDS","CoDublin",180000,"SecondHand Property"
"19 SULLIVAN ST, ","D7",305000,"SecondHand Property"
"2 CLYDE RD, BALLSBRIDGE, ","D4",3100000,"SecondHand Property"
"2 CORR BRIDGE TCE, CLAREMONT RD, HOWTH 3","D13",425000,"SecondHand Property"
"21 Grangeabbey  Abbey Road, Monkstown","CoDublin",348018,"NewProperty"
"22  Temple Woods, Greenhills Road, 4","D24",334801,"NewProperty"
"25 Camden Avenue, Royal Canal Park, Ratoath Road","D15",400881,"NewProperty"
"28 CREMORE RD, GLASNEVIN, 1","D11",647500,"SecondHand Property"
"29 CROSFORGE, SAGGART, ","CoDublin",325000,"SecondHand Property"
"31 GRANGE ABBEY RD, BALDOYLE, 3","D13",337500,"SecondHand Property"
"32 THE WATERSIDE, CHARLOTTE QUAY, RINGSEND","CoDublin",330000,"SecondHand Property"
"39 ST JAMES AVE, CLONLIFFE RD, ","D3",135000,"SecondHand Property"
"44 RUSSELL CLOSE, RUSSELL SQ, TALLAGHT 4","D24",180000,"SecondHand Property"
"45 REGINALD ST, THE COOMBE, ","D8",395000,"SecondHand Property"
"5 SHANLISS AVE, ","D9",280000,"SecondHand Property"
"5 Somerton Copse, Somerton, Newcastle Road","CoDublin",290749,"NewProperty"
"539 HOWTH RD, RAHENY, ","D5",755000,"SecondHand Property"
"54 OAK RD, DONNYCARNEY, ","D9",150000,"SecondHand Property"
"6 GOLDSMITH STREET, NORTH CIRCULAR ROAD, ","CoDublin",350000,"SecondHand Property"
"6 THE GALLOPS, MOORETOWN ST CRONINS, SWORDS","CoDublin",230000,"SecondHand Property"
"61 CRUMLIN RD, 2","D12",475000,"SecondHand Property"
"66 ROSEPARK, BALROTHERY, BALBRIGGAN","CoDublin",287000,"SecondHand Property"
"7 St. Helen's Downs, St. Helen's, Adamstown","CoDublin",255506,"NewProperty"
"8 LORETO TERRACE, GRANGE RD, RATHFARNHAM 4","D14",505000,"SecondHand Property"
"9 OLD ST, MALAHIDE","CoDublin",19750,"SecondHand Property"
"APT 1 2 3 4 5 and 6, 35 MONTPELLIER HILL, ","D7",780000,"SecondHand Property"
"APT.156 PARK WEST POINTE, THE CRESCENT BUILDING, 2","D12",158000,"SecondHand Property"
"MOSS COTTAGE, SANDY ROAD, RUSH","CoDublin",130000,"SecondHand Property"
"1 THE SYCAMORE, ELMFIELD, BALLYOGAN 8","D18",370270.27,"SecondHand Property"
"10 ALEXANDRA QUAY, YORK RD, RINGSEND ","D4",265000,"SecondHand Property"
